id	to_be_done_s_expression
Check for urgent eye or vision conditions	"(check_for (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Sees haloes around lights"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Blurring of visual image"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Weakness of face muscles"" ""finding"") (qualifier (snomed_concept ""Sudden onset"" ""qualifier value"")) (qualifier (snomed_concept ""New"" ""qualifier value"")) (qualifier (snomed_concept ""Asymmetry"" ""qualifier value""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Muscle weakness of upper limb"" ""finding"") (qualifier (snomed_concept ""Sudden onset"" ""qualifier value"")) (qualifier (snomed_concept ""New"" ""qualifier value"")) (qualifier (snomed_concept ""Asymmetry"" ""qualifier value""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Weakness of muscle of lower limb"" ""finding"") (qualifier (snomed_concept ""Sudden onset"" ""qualifier value"")) (qualifier (snomed_concept ""New"" ""qualifier value"")) (qualifier (snomed_concept ""Asymmetry"" ""qualifier value""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Numbness of face"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Numbness of limbs"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Sudden visual loss"" ""disorder"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Corneal ulcer"" ""disorder"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Corneal opacity"" ""disorder"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Jaundice"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Postpartum state"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Edema of eyelid"" ""disorder"") (qualifier (snomed_concept ""New"" ""qualifier value""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Red eye"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Pain in eye"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Abnormal vision"" ""finding"") (qualifier (snomed_concept ""Sudden onset"" ""qualifier value""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Herpes zoster involving tip of nose"" ""disorder"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Herpes zoster ophthalmicus"" ""disorder"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Penetrating wound of eye"" ""disorder"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Laceration of eyelid"" ""disorder"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Metal foreign body in eye region"" ""disorder"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Penetration of eyeball with magnetic foreign body"" ""disorder"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Burn of cornea"" ""disorder"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Ptosis of eyelid"" ""disorder"") (qualifier (snomed_concept ""Sudden onset"" ""qualifier value""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Swelling of eyelid"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Headache"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Nausea and vomiting"" ""disorder"")))"
Check for urgent skin conditions with crusts or flaky skin	"(check_for (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Purpuric rash"" ""disorder"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Stiff neck"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Drowsy"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Clouded consciousness"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Headache"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Jaundice"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Blister"" ""morphologic abnormality"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Abdominal pain"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Perioral dermatitis"" ""disorder"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Periocular dermatitis"" ""disorder"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Rash of genitalia"" ""disorder"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Peeling of skin"" ""finding"")))"
Check for Anaphylaxis	"(check_for (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Itching"" ""finding"") (qualifier (snomed_concept ""Sudden onset"" ""qualifier value""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Eruption"" ""morphologic abnormality"") (qualifier (snomed_concept ""Sudden onset"" ""qualifier value""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Insect bite - wound"" ""disorder"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Insect sting"" ""disorder"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Swelling"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Face structure"" ""body structure"")) (qualifier (snomed_concept ""Sudden onset"" ""qualifier value""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Swelling"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Face structure"" ""body structure""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Swelling"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Tongue structure"" ""body structure"")) (qualifier (snomed_concept ""Sudden onset"" ""qualifier value""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Swelling"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Tongue structure"" ""body structure""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Dizziness"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Collapse"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Difficulty breathing"" ""finding"")) (finding (snomed_concept ""Exposure to (contextual qualifier)"" ""qualifier value"") (snomed_concept ""Peanut"" ""substance"")) (finding (snomed_concept ""Exposure to (contextual qualifier)"" ""qualifier value"") (snomed_concept ""Tree nut"" ""substance"")) (finding (snomed_concept ""Exposure to (contextual qualifier)"" ""qualifier value"") (snomed_concept ""Eggs (edible)"" ""substance"")) (finding (snomed_concept ""Exposure to (contextual qualifier)"" ""qualifier value"") (snomed_concept ""Milk"" ""substance"")) (finding (snomed_concept ""Exposure to (contextual qualifier)"" ""qualifier value"") (snomed_concept ""Fish"" ""substance"")) (finding (snomed_concept ""Exposure to (contextual qualifier)"" ""qualifier value"") (snomed_concept ""Drug or medicament"" ""substance"")) (allergy (snomed_concept ""Fish"" ""substance"")) (allergy (snomed_concept ""Milk"" ""substance"")) (allergy (snomed_concept ""Eggs (edible)"" ""substance"")) (allergy (snomed_concept ""Tree nut"" ""substance"")) (allergy (snomed_concept ""Peanut"" ""substance"")) (allergy (snomed_concept ""Drug or medicament"" ""substance"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Abdominal pain"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Finding of vomiting"" ""finding"")))"
Raise legs for anaphylaxis patient	"(manage (snomed_concept ""Elevation of lower limb"" ""procedure""))"
Administer oxygen for anaphylaxis patient	"(manage (snomed_concept ""Oxygen therapy"" ""procedure""))"
Administer epinephrine for anaphylaxis patient	"(manage (snomed_concept ""Product containing epinephrine"" ""medicinal product"") (permission (role nurse) (specialty ""Primary care"")))"
Administer sodium chloride 0.9% for anaphylaxis patient	"(manage (snomed_concept ""Product containing precisely sodium chloride 9 milligram/1 milliliter conventional release solution for infusion and/or injection"" ""clinical drug"") (permission (role nurse) (specialty ""Primary care"")))"
Check for urgent arm or hand symptom conditions	"(check_for (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Pain in left arm"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Chest pain"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Pain in right arm"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Hand pain"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Traumatic injury"" ""disorder"") (qualifier (snomed_concept ""Recent"" ""qualifier value""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Injury of musculoskeletal system"" ""disorder"") (qualifier (snomed_concept ""Recent"" ""qualifier value""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Severe pain"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Swelling of upper arm"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Deformity of upper limb"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Joint swelling"" ""finding"") (qualifier (snomed_concept ""Severe (severity modifier)"" ""qualifier value""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Deformity"" ""finding"") (qualifier (snomed_concept ""Severe (severity modifier)"" ""qualifier value""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Muscle weakness of upper limb"" ""finding"") (qualifier (snomed_concept ""Sudden onset"" ""qualifier value"")) (qualifier (snomed_concept ""New"" ""qualifier value""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Difficulty talking"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Visual disturbance"" ""disorder"")))"
Check for urgent skin colour change conditions	"(check_for (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Abdominal pain"" ""finding"") (qualifier (snomed_concept ""Severe (severity modifier)"" ""qualifier value""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Acute abdominal pain"" ""finding"") (qualifier (snomed_concept ""Severe (severity modifier)"" ""qualifier value""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Alcohol dependence"" ""disorder"") (qualifier (snomed_concept ""Known present"" ""qualifier value""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Bleeds easily"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Clouded consciousness"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Drowsy"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Easy bruising"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Finding of tendency to bleed"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Illicit drug use"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Pale conjunctiva"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Pregnancy"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Taking medication"" ""observable entity"")))"
Check for urgent urinary symptom conditions	"(check_for (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Unable to void urine"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Abdominal discomfort"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Lower abdomen structure"" ""body structure""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Distension of abdomen"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Lower abdomen structure"" ""body structure""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Left flank pain"" ""finding"") (qualifier (snomed_concept ""Sudden onset"" ""qualifier value"")) (qualifier (snomed_concept ""Severe (severity modifier)"" ""qualifier value""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Right flank pain"" ""finding"") (qualifier (snomed_concept ""Sudden onset"" ""qualifier value"")) (qualifier (snomed_concept ""Severe (severity modifier)"" ""qualifier value""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Blood in urine"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Oliguria"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Swelling"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Face structure"" ""body structure"")) (qualifier (snomed_concept ""New"" ""qualifier value""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Swelling of bilateral feet"" ""finding"") (qualifier (snomed_concept ""New"" ""qualifier value""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Proteinuria"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Left inguinal pain"" ""finding"") (qualifier (snomed_concept ""Sudden onset"" ""qualifier value"")) (qualifier (snomed_concept ""Severe (severity modifier)"" ""qualifier value""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Right inguinal pain"" ""finding"") (qualifier (snomed_concept ""Sudden onset"" ""qualifier value"")) (qualifier (snomed_concept ""Severe (severity modifier)"" ""qualifier value""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Leukocytes in urine"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Nitrite detected in urine"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Finding of vomiting"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Diabetes mellitus"" ""disorder"") (qualifier (snomed_concept ""Known present"" ""qualifier value""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Pregnancy"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Postmenopausal state"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Flank pain"" ""finding"") (qualifier (snomed_concept ""Sudden onset"" ""qualifier value"")) (qualifier (snomed_concept ""Unilateral"" ""qualifier value""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Inguinal pain"" ""finding"") (qualifier (snomed_concept ""Sudden onset"" ""qualifier value"")) (qualifier (snomed_concept ""Unilateral"" ""qualifier value""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Flank pain"" ""finding"")))"
Check for urgent ischaemic heart disease conditions	"(check_for (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Chest pain"" ""finding"") (qualifier (snomed_concept ""At rest"" ""qualifier value""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Chest discomfort"" ""finding"") (qualifier (snomed_concept ""At rest"" ""qualifier value""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Chest pain on exertion"" ""finding"")))"
Check for urgent wheeze or tight chest conditions	"(check_for (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Unable to complete a sentence in one breath"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Accessory respiratory muscles used"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Absent breath sounds"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Clouded consciousness"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Feeling agitated"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Drowsy"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Asthma"" ""disorder"") (qualifier (snomed_concept ""Known present"" ""qualifier value""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Chronic obstructive pulmonary disease"" ""disorder"") (qualifier (snomed_concept ""Known present"" ""qualifier value""))))"
Check for urgent nail symptom conditions	"(check_for (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Nails dirty"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Unkempt appearance"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Nail deformity"" ""disorder"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Swelling"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Nail bed structure"" ""body structure""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Nail fold finding"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Structure of cuticle of nail"" ""body structure""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Pain"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Nail unit structure"" ""body structure""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Swelling"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Structure of proximal nail fold"" ""body structure""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Purulent discharge"" ""morphologic abnormality"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Nail unit structure"" ""body structure""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Yellow nails"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Nails crumble"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Nail discoloration"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Beau's lines"" ""disorder"")))"
Check for urgent postnatal conditions	"(check_for (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Bleeding from vagina"" ""finding"")))"
Check for urgent peripheral vascular disease conditions	"(check_for (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Pulsatile mass of abdomen"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Low blood pressure"" ""disorder"")))"
Check for urgent low mood, stress and anxiety conditions	"(check_for (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Intentionally harming self"" ""event"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Suicide attempt"" ""event"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Suicidal thoughts"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Planning suicide"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Feeling agitated"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Physical aggression"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Feeling upset"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Does not communicate"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Suicidal thoughts"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Planning suicide"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Intentionally harming self"" ""event"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Suicide attempt"" ""event"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""At increased risk of self-injurious behavior"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""High suicide risk"" ""finding"")))"
Check for urgent foot symptom conditions	"(check_for (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Ischemic foot with rest pain"" ""disorder"") (qualifier (snomed_concept ""Sudden onset"" ""qualifier value"")) (qualifier (snomed_concept ""Severe (severity modifier)"" ""qualifier value""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Numbness of lower limb"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Weakness of muscle of lower limb"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Pale complexion"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Peripheral pulse absent"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Intermittent claudication"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Ischemic foot with rest pain"" ""disorder"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Gangrene"" ""morphologic abnormality"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Ulcer"" ""morphologic abnormality"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Intermittent claudication"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Buttock structure"" ""body structure""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Unable to weight-bear"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Injury of lower limb"" ""disorder"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Foot pain"" ""finding"") (qualifier (snomed_concept ""Sudden"" ""qualifier value"")) (qualifier (snomed_concept ""Severe (severity modifier)"" ""qualifier value""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Numbness"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Lower limb structure"" ""body structure""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Muscle weakness"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Lower limb structure"" ""body structure""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Absent pulse"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Lower limb structure"" ""body structure""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Foot pain"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Ulcer of foot"" ""disorder"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Gangrene of foot"" ""disorder"")))"
Check for urgent drug rash conditions	"(check_for (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Swelling"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Face structure"" ""body structure""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Swelling"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Tongue structure"" ""body structure""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Difficulty breathing"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Abdominal pain"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Finding of vomiting"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Diarrhea"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Perioral dermatitis"" ""disorder"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Periocular dermatitis"" ""disorder"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Rash of genitalia"" ""disorder"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Blister"" ""morphologic abnormality"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Peeling of skin"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Jaundice"" ""finding"")) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Swelling"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Face structure"" ""body structure""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Swelling"" ""finding"") (attribute (snomed_concept ""Finding site"" ""attribute"") (snomed_concept ""Tongue structure"" ""body structure""))) (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Blister of skin"" ""disorder"")))"
Check for snake bite	"(check_for (finding (snomed_concept ""Clinical finding"" ""finding"") (snomed_concept ""Snake bite - wound"" ""disorder"")) (finding (snomed_concept ""Exposure to (contextual qualifier)"" ""qualifier value"") (snomed_concept ""Snake venom"" ""substance"")))"
